CustomerID,Gender,Age,Region,Tenure,SubscriptionType,MonthlyCharges,TotalSpend,NumOfPurchases,EngagementScore,CustomerSatisfaction,SupportTickets,PaymentMethod,AutoRenewal,Churn
CUST00063,Female,55,East,17,Standard,36.11,4557.65,95,25,4,0,PayPal,0,0
CUST00064,Male,34,East,24,Basic,98.18,3846.95,68,24,1,0,Auto-Debit,1,0
CUST00065,Male,61,East,9,Basic,90.05,208.74,44,35,1,1,UPI,1,0
CUST00066,Female,18,North,54,Basic,28.84,2405.25,70,20,4,0,Credit Card,1,0
CUST00067,Male,20,South,1,Basic,82.14,251.22,82,57,4,1,UPI,1,0
CUST00068,Female,63,North,42,Standard,107.41,1547.17,71,42,5,0,Auto-Debit,1,0
CUST00069,Male,43,East,28,Standard,89.74,2291.66,98,22,3,0,UPI,1,0
CUST00070,Other,48,South,55,Premium,71.11,4485.92,87,64,4,1,Auto-Debit,0,0
CUST00071,Female,25,West,15,Premium,51.19,3341.04,8,58,5,1,Credit Card,1,0
CUST00072,Male,60,North,21,Standard,108.71,1939.93,88,60,3,0,PayPal,0,0
CUST00073,Male,63,South,15,Basic,62.28,2555.14,28,73,2,1,Credit Card,1,0
CUST00074,Female,25,West,57,Basic,105.54,4123.47,55,88,2,1,Auto-Debit,0,0
CUST00075,Female,52,West,23,Standard,98.3,1638.35,67,85,2,2,Auto-Debit,1,0
CUST00076,Female,56,East,53,Standard,101.62,3152.17,77,71,4,1,PayPal,1,0
CUST00077,Female,45,West,2,Standard,118.98,1458.79,39,63,3,2,Auto-Debit,1,0
CUST00078,Male,68,West,46,Premium,94.88,2503.82,33,32,3,0,Credit Card,0,0
CUST00079,Male,21,East,36,Premium,23.4,318.36,80,75,2,1,Credit Card,0,0
CUST00080,Male,33,South,50,Basic,40.54,4290.92,75,47,1,0,PayPal,1,0
CUST00081,Female,30,South,9,Basic,23.52,432.07,29,38,3,0,Auto-Debit,0,0
CUST00082,Female,37,East,2,Premium,38.99,1276.93,89,11,3,0,Auto-Debit,1,0
CUST00083,Male,68,North,2,Premium,26.14,1800.86,17,75,5,1,Credit Card,1,0
CUST00084,Male,22,East,18,Basic,70.16,3200.77,37,10,2,1,Auto-Debit,1,0
CUST00085,Male,54,South,17,Standard,22.82,3656.16,6,47,1,2,Auto-Debit,1,0
CUST00086,Male,37,North,41,Standard,67.26,586.17,46,7,5,0,Credit Card,1,0
CUST00087,Female,41,East,8,Standard,109.88,408.63,14,50,1,1,Auto-Debit,1,0
CUST00088,Female,53,South,34,Basic,94.86,4035.15,83,7,1,3,PayPal,0,0
CUST00089,Female,51,South,34,Premium,114.4,3618.4,37,100,1,1,Credit Card,1,0
CUST00090,Male,62,South,5,Standard,42.66,4191.44,76,79,4,0,Credit Card,1,1
CUST00091,Male,65,West,44,Basic,73.11,3447.38,83,99,3,1,PayPal,1,0
CUST00092,Female,51,West,29,Standard,51.86,3804.86,85,81,3,3,PayPal,0,0
CUST00093,Female,36,North,28,Standard,69.38,2019.38,29,84,5,1,UPI,0,0
CUST00094,Female,34,North,16,Premium,75.71,3032.88,92,67,1,1,PayPal,1,0
CUST00095,Female,22,North,14,Basic,23.62,4065.88,81,70,1,4,Credit Card,1,1
CUST00096,Female,42,West,52,Premium,43.33,1026.16,49,97,3,0,PayPal,1,0
CUST00097,Female,35,North,2,Basic,90.48,2229.55,2,97,1,2,Auto-Debit,1,0
CUST00098,Male,67,South,56,Standard,97.29,3754.35,70,35,1,2,Auto-Debit,1,0
CUST00099,Male,25,South,40,Standard,76.95,2756.66,89,100,1,1,PayPal,1,0
CUST00100,Male,44,North,4,Standard,47.08,3471.96,83,29,2,2,Credit Card,1,0
CUST00101,Male,32,North,52,Standard,60.51,1605.77,70,89,2,0,Auto-Debit,1,0
CUST00102,Female,62,West,41,Premium,29.6,355.24,65,11,2,3,PayPal,0,0
CUST00103,Male,30,South,52,Standard,115.32,339.9,46,74,5,1,Credit Card,1,0
CUST00104,Female,33,East,31,Standard,106.87,4725.35,63,28,1,0,UPI,1,0
CUST00105,Female,39,East,26,Basic,26.56,4733.79,98,2,2,0,Auto-Debit,1,1
CUST00106,Male,37,West,27,Basic,36.65,1214.16,85,61,2,0,UPI,1,0
CUST00107,Male,30,West,57,Basic,78.11,907.84,21,10,4,1,Auto-Debit,1,0
CUST00108,Female,37,West,51,Premium,43.24,287.07,27,72,5,0,Credit Card,1,0
CUST00109,Male,19,South,34,Standard,113.44,1310.03,63,89,2,1,UPI,0,0
CUST00110,Male,52,North,31,Premium,95.56,1804.89,23,58,2,3,PayPal,1,0
CUST00111,Male,64,North,48,Basic,47.33,1357.96,96,71,2,0,Credit Card,1,0
CUST00112,Male,36,West,11,Standard,20.61,4027.44,39,84,4,0,UPI,0,0
CUST00113,Female,62,South,8,Basic,99.94,3797.27,58,71,4,0,Auto-Debit,1,0
CUST00114,Female,54,East,12,Standard,62.41,588.87,45,41,5,1,PayPal,1,0
CUST00115,Female,23,West,35,Basic,84.24,3547.14,81,5,1,0,PayPal,1,0
CUST00116,Female,31,South,45,Basic,48.7,2698.81,14,54,1,0,UPI,0,0
CUST00117,Female,21,West,34,Standard,34.29,834.4,22,81,5,2,PayPal,1,0
CUST00118,Male,39,South,13,Basic,87.53,3749.77,17,5,1,1,UPI,1,0
CUST00119,Female,68,South,27,Standard,65.03,613.02,29,20,3,0,Auto-Debit,1,0
CUST00120,Female,56,West,8,Standard,43.52,1050.32,38,43,1,1,PayPal,0,1
CUST00121,Female,53,North,47,Standard,33.76,916.29,90,47,4,1,Auto-Debit,1,0
CUST00122,Female,51,West,56,Premium,78.05,4707.36,31,86,4,1,PayPal,1,0
CUST00123,Male,44,North,21,Basic,92.55,3551.15,98,35,2,2,Auto-Debit,1,0
CUST00124,Male,24,North,41,Standard,48.39,2174.17,58,81,4,1,PayPal,1,0
CUST00125,Male,20,East,11,Premium,93.51,4146.58,91,90,3,0,Credit Card,1,0
CUST00126,Male,64,South,22,Standard,38.31,1236.61,17,44,3,0,PayPal,0,0
CUST00127,Female,50,West,21,Basic,53.84,4669.25,23,2,3,2,Auto-Debit,1,0
CUST00128,Female,19,South,28,Premium,94.49,3545.59,98,58,2,2,Credit Card,1,0
CUST00129,Male,59,East,3,Basic,86.01,2885.99,82,11,1,2,Auto-Debit,0,0
CUST00130,Female,33,North,7,Basic,47.05,4014.31,85,83,2,1,UPI,1,0
CUST00131,Male,42,West,14,Basic,32.21,3294.95,20,18,4,0,UPI,1,0
CUST00132,Male,32,South,15,Basic,24.25,4458.12,96,22,3,2,Credit Card,1,0
CUST00133,Male,41,East,9,Basic,103.79,4179.93,76,4,2,1,UPI,1,1
CUST00134,Male,32,North,52,Basic,27.51,1149.59,4,50,2,0,Credit Card,0,0
CUST00135,Female,48,North,43,Standard,31.48,1350.39,73,18,3,0,Credit Card,1,0
CUST00136,Male,31,South,7,Basic,43.77,512.47,75,11,5,3,PayPal,1,0
CUST00137,Female,31,North,12,Basic,64.57,1256.95,49,91,3,3,Credit Card,1,0
CUST00138,Female,23,East,19,Standard,98.98,1848.75,94,56,5,1,Auto-Debit,1,0
CUST00139,Male,31,North,27,Basic,44.75,338.37,26,36,3,0,Credit Card,1,0
CUST00140,Other,34,West,18,Basic,74.35,1711.82,32,33,1,0,Auto-Debit,1,0
CUST00141,Other,35,West,13,Standard,29.04,3903.42,28,79,5,1,UPI,0,0
CUST00142,Male,37,South,43,Basic,66.45,4233.57,51,62,5,2,UPI,1,0
CUST00143,Female,68,East,1,Basic,37.76,242.59,40,3,2,1,PayPal,1,0
CUST00144,Male,34,North,38,Standard,41.12,234.31,37,53,5,2,PayPal,1,1
CUST00145,Male,33,North,21,Standard,56.68,902.27,51,53,4,0,UPI,1,0
CUST00146,Male,57,North,34,Standard,96.13,4388.37,57,5,2,1,PayPal,1,0
CUST00147,Female,56,West,13,Premium,94.4,2452.53,80,6,2,1,PayPal,0,0
CUST00148,Female,69,East,45,Standard,61.5,4917.93,72,33,1,1,PayPal,0,1
CUST00149,Male,49,North,51,Standard,31.87,4459.19,67,67,2,1,UPI,1,0
CUST00150,Male,61,South,41,Basic,48.07,4472.61,3,14,2,0,PayPal,0,0
CUST00151,Female,26,East,51,Standard,70.54,816.69,74,12,4,1,Credit Card,1,0
CUST00152,Male,44,East,23,Basic,106.94,2481.1,63,72,2,2,UPI,1,0
CUST00153,Male,63,North,1,Standard,116.83,4969.23,12,36,5,1,Auto-Debit,1,0
CUST00154,Female,69,West,23,Standard,83.75,915.41,79,80,1,1,Credit Card,0,0
CUST00155,Other,50,East,57,Standard,55.07,2956.32,91,37,4,3,Auto-Debit,1,0
CUST00156,Male,27,South,28,Premium,89.35,1852.54,51,77,3,4,UPI,0,0
CUST00157,Female,34,East,59,Premium,53.62,2061.72,11,100,3,2,Auto-Debit,0,0
CUST00158,Female,66,West,32,Basic,82.55,4475.8,6,30,3,1,PayPal,1,0
CUST00159,Male,66,South,8,Basic,44.38,3021.93,12,65,4,2,Auto-Debit,1,0
CUST00160,Female,53,West,55,Premium,46.7,3842.13,82,82,3,1,Credit Card,1,0
CUST00161,Male,34,North,26,Standard,27.52,3431.53,25,82,5,1,UPI,1,0
CUST00162,Female,35,East,14,Standard,62.01,2739.28,98,59,3,3,UPI,0,0
CUST00163,Female,69,South,24,Standard,81.82,4000.21,26,12,3,1,Credit Card,1,0
CUST00164,Female,40,West,48,Standard,98.88,4859.52,88,20,1,3,UPI,1,0
CUST00165,Male,51,North,29,Premium,101.03,4840.73,58,94,3,0,Auto-Debit,1,0
CUST00166,Female,25,South,4,Standard,119.24,3989.37,80,43,3,0,Auto-Debit,1,0
CUST00167,Male,30,East,18,Standard,28.78,2539.18,36,27,2,1,Credit Card,1,0
CUST00168,Male,40,East,14,Standard,69.31,983.16,36,56,5,0,Auto-Debit,1,0
CUST00169,Male,37,West,27,Premium,72.14,413.46,21,0,4,1,Auto-Debit,1,0
CUST00170,Female,39,South,41,Standard,100.45,1310.94,94,98,1,0,UPI,1,0
CUST00171,Female,64,North,47,Standard,46.64,1833.24,49,9,4,2,Credit Card,1,0
CUST00172,Male,69,North,3,Premium,26.94,823.28,84,7,3,0,PayPal,0,0
CUST00173,Female,40,North,30,Standard,51.38,1278.87,60,76,2,0,Credit Card,1,0
CUST00174,Male,58,West,59,Basic,118.39,601.02,62,62,3,0,PayPal,1,0
CUST00175,Female,52,North,36,Standard,109.94,2713.65,19,82,3,0,PayPal,0,0
CUST00176,Male,20,South,23,Standard,59.52,806.33,11,66,1,0,PayPal,1,0
CUST00177,Female,51,West,18,Basic,107.63,3765.29,78,66,1,2,Credit Card,1,0
CUST00178,Male,50,East,46,Standard,23.28,1796.72,80,26,4,0,PayPal,1,0
CUST00179,Female,63,West,47,Standard,51.42,3425.9,3,17,3,2,UPI,1,0
CUST00180,Male,34,West,40,Standard,92.68,4436.09,57,34,4,0,Auto-Debit,0,0
CUST00181,Male,62,West,10,Standard,42.15,612.88,86,43,3,0,Credit Card,1,1
CUST00182,Male,36,South,56,Standard,39.84,4947.2,69,97,1,0,Credit Card,0,0
CUST00183,Female,47,East,12,Premium,106.18,3297.17,53,93,2,1,Credit Card,0,0
CUST00184,Female,40,East,53,Basic,81.6,456.16,66,7,4,1,UPI,0,0
CUST00185,Male,32,West,41,Basic,118.9,1707.21,12,84,4,5,Auto-Debit,1,0
CUST00186,Female,31,West,8,Standard,33.47,4453.98,62,45,5,1,Credit Card,0,0
CUST00187,Female,19,West,32,Standard,55.61,3061.92,45,82,5,1,PayPal,0,0
CUST00188,Female,56,South,17,Basic,51.12,1578.67,57,42,2,0,UPI,0,0
CUST00189,Female,66,South,41,Basic,108.01,4714.37,2,45,5,3,PayPal,0,0
CUST00190,Male,35,North,45,Standard,45.53,3978.81,55,39,2,0,Credit Card,1,0
CUST00191,Male,23,East,14,Basic,55.35,3730.58,19,93,3,0,PayPal,1,0
CUST00192,Female,49,North,37,Standard,34.28,4464.45,61,55,5,1,Auto-Debit,0,0
CUST00193,Female,38,North,9,Standard,97.54,3894.94,24,26,5,1,Auto-Debit,0,0
CUST00194,Female,57,West,57,Standard,43.77,1576.34,5,19,4,0,PayPal,1,0
CUST00195,Male,45,South,58,Basic,26.83,3002.65,26,77,2,0,UPI,1,0
CUST00196,Male,44,North,26,Standard,63.51,4242.97,92,56,4,3,UPI,0,0
CUST00197,Female,19,North,48,Standard,59.15,1068.07,35,11,5,2,UPI,1,0
CUST00198,Female,50,North,51,Premium,37.76,982.51,19,22,3,2,Credit Card,1,0
CUST00199,Female,33,West,24,Premium,33.36,963.09,31,11,1,0,Auto-Debit,1,0
CUST00200,Female,56,West,23,Basic,109.66,1132.43,83,43,2,0,UPI,1,0
CUST00201,Female,39,South,31,Basic,26.78,695.51,44,38,2,2,Auto-Debit,0,0
CUST00202,Male,60,North,39,Basic,29.93,4220.62,19,41,3,0,UPI,0,0
CUST00203,Male,64,North,44,Basic,44.5,4127.93,84,93,3,1,UPI,1,0
CUST00204,Female,30,South,58,Standard,115.28,926.57,81,47,2,2,PayPal,1,0
CUST00205,Female,19,South,2,Standard,28.54,3586.58,12,90,2,0,Credit Card,1,0
CUST00206,Male,31,South,50,Basic,101.6,3209.48,35,87,3,1,UPI,1,0
CUST00207,Male,55,East,18,Standard,109.21,1525.73,90,66,3,1,UPI,1,0
CUST00208,Female,58,South,16,Premium,57.79,1291.37,58,93,3,1,Credit Card,1,0
CUST00209,Male,45,West,29,Standard,49.39,1402.81,72,34,5,2,PayPal,0,0
CUST00210,Male,24,East,11,Basic,87.74,3707.03,25,96,2,0,UPI,0,0
CUST00211,Female,35,South,2,Standard,90.26,1732.72,25,36,2,1,UPI,1,0
CUST00212,Female,58,West,14,Standard,98,1534.2,86,39,3,1,PayPal,0,0
CUST00213,Female,53,South,4,Premium,103.06,307.91,13,15,4,4,PayPal,1,0
CUST00214,Male,58,South,39,Basic,46.84,4559.54,42,47,1,2,PayPal,0,0
CUST00215,Female,53,East,34,Standard,88.7,3812.98,15,17,2,0,PayPal,0,0
CUST00216,Male,61,West,53,Standard,33.49,2469.36,23,17,5,4,Auto-Debit,1,0
CUST00217,Male,21,North,46,Standard,71.07,4726.05,28,13,1,0,UPI,1,1
CUST00218,Female,47,South,39,Standard,81.29,1608.95,13,95,4,1,Auto-Debit,0,0
CUST00219,Female,41,East,9,Basic,36.17,3438.58,96,75,5,1,UPI,1,0
CUST00220,Female,37,West,40,Standard,27.65,1664.72,75,41,3,1,PayPal,1,0
CUST00221,Female,63,South,41,Basic,39.47,1709.95,44,1,4,0,PayPal,1,0
CUST00222,Female,48,North,7,Basic,62.06,4254.6,78,52,3,1,PayPal,1,0
CUST00223,Male,41,West,51,Standard,108.78,3977.71,52,89,5,0,UPI,1,0
CUST00224,Male,24,West,17,Basic,73.19,1611.72,35,86,5,1,Credit Card,0,0
CUST00225,Male,43,East,58,Basic,94.85,590.67,47,59,3,0,UPI,1,0
CUST00226,Male,30,South,23,Standard,37.41,1916.4,35,34,1,1,PayPal,1,0
CUST00227,Other,25,South,45,Standard,30.6,3848.28,50,63,2,0,Credit Card,1,0
CUST00228,Male,22,West,11,Basic,43.96,682.61,87,32,2,2,Credit Card,1,0
CUST00229,Female,61,South,22,Standard,51.39,3426.08,40,40,5,2,PayPal,1,0
CUST00230,Female,30,West,18,Basic,74.81,4470.86,77,62,4,0,Credit Card,1,0
CUST00231,Female,46,North,49,Basic,108.12,1060.29,70,88,3,2,Credit Card,1,0
CUST00232,Female,37,East,28,Standard,62.61,4338.58,93,3,4,4,PayPal,1,0
CUST00233,Female,31,South,16,Basic,71.88,446.55,42,20,3,1,UPI,0,0
CUST00234,Female,49,South,42,Premium,20.46,3401.03,15,3,4,2,Credit Card,1,0
CUST00235,Male,67,East,4,Basic,23.33,3996.99,60,94,3,2,PayPal,1,0
CUST00236,Female,44,North,36,Standard,28.38,2334.88,58,55,5,2,UPI,1,0
CUST00237,Male,42,North,22,Premium,89.9,1177.9,69,78,1,0,UPI,0,0
CUST00238,Male,69,North,11,Premium,68.62,4638.7,33,3,2,0,Credit Card,1,0
CUST00239,Female,21,North,21,Standard,39.3,295.85,40,3,4,0,PayPal,0,0
CUST00240,Male,38,North,57,Premium,79.26,2864.34,2,2,2,2,Auto-Debit,1,0
CUST00241,Female,35,West,40,Premium,74.46,1989.68,33,54,4,0,UPI,1,0
CUST00242,Female,56,South,41,Basic,28.88,2413.07,25,68,5,0,UPI,1,0
CUST00243,Female,32,South,16,Standard,84.04,2775.51,59,82,5,2,Auto-Debit,1,0
CUST00244,Male,55,South,42,Basic,96.72,2766.79,27,31,4,2,UPI,1,0
CUST00245,Male,65,West,55,Standard,48.66,1177.39,56,57,4,0,Auto-Debit,1,0
CUST00246,Female,69,East,9,Standard,88.75,3462.57,25,72,4,0,UPI,1,0
CUST00247,Male,41,North,35,Basic,39.97,291.91,5,66,5,0,PayPal,1,0
CUST00248,Other,25,East,57,Standard,95.67,301.68,62,33,1,0,PayPal,1,0
CUST00249,Other,45,North,34,Basic,111.18,2496.74,43,62,1,0,UPI,0,1
CUST00250,Female,38,North,9,Premium,64.19,2801.13,68,88,4,1,Auto-Debit,1,0
CUST00251,Male,33,East,13,Basic,44.46,1519.47,78,9,3,1,UPI,1,0
CUST00252,Male,33,South,6,Standard,59.92,2848.04,81,31,1,0,Credit Card,1,0
CUST00253,Female,52,West,4,Basic,45.01,2677.32,91,4,5,1,PayPal,1,0
CUST00254,Male,34,East,46,Basic,20.12,1876.26,36,28,5,1,Auto-Debit,1,0
CUST00255,Male,26,South,28,Standard,85.05,3328.52,98,6,5,0,PayPal,0,0
CUST00256,Female,52,North,11,Basic,24.25,4798.1,10,14,2,6,UPI,0,0
CUST00257,Female,69,South,34,Standard,41.04,2555.85,22,1,2,2,Credit Card,1,1
CUST00258,Female,46,North,58,Premium,92.24,3973.04,86,9,5,0,PayPal,1,0
CUST00259,Female,56,North,35,Basic,86.57,1388.46,28,10,1,2,Credit Card,1,0
CUST00260,Male,35,South,5,Premium,27.33,3857.36,48,52,2,0,UPI,1,0
CUST00261,Female,29,North,57,Basic,86.01,3314.75,60,55,3,0,PayPal,0,0
CUST00262,Other,36,West,39,Basic,113.06,3270.55,84,39,4,1,Credit Card,1,0
CUST00263,Male,65,South,11,Basic,27.45,4486.57,63,57,2,1,PayPal,1,0
CUST00264,Female,39,East,12,Premium,61.57,1320.08,2,84,2,0,UPI,0,1
CUST00265,Female,66,North,43,Basic,92.94,1968.56,23,75,1,1,PayPal,1,0
CUST00266,Female,69,North,19,Premium,86.77,598.72,51,67,1,0,Auto-Debit,0,0
CUST00267,Female,32,West,13,Premium,42.65,3685.38,98,91,3,0,UPI,1,0
CUST00268,Female,18,West,4,Basic,36.31,4250.56,80,92,3,3,Auto-Debit,1,0
CUST00269,Male,19,East,14,Standard,98.42,2148,28,76,3,1,Credit Card,0,0
CUST00270,Male,25,North,44,Standard,115.62,1912.77,78,81,3,1,Credit Card,0,0
CUST00271,Female,39,East,59,Basic,96.76,3361.53,1,26,2,1,Credit Card,1,0
CUST00272,Female,42,East,2,Basic,116.32,562.83,15,2,3,1,Auto-Debit,1,1
CUST00273,Female,19,North,8,Standard,80.5,1610.44,15,98,3,3,UPI,1,0
CUST00274,Female,68,East,22,Standard,112.91,1957.82,89,38,5,0,Auto-Debit,1,0
CUST00275,Female,26,East,51,Standard,89.04,2689.23,43,21,2,1,Credit Card,1,0
CUST00276,Female,26,West,13,Basic,110.89,2487.53,5,80,2,1,UPI,0,0
CUST00277,Female,30,West,21,Basic,36.16,1201.67,72,91,2,1,Credit Card,1,0
CUST00278,Female,23,East,21,Premium,101.56,2795.78,86,60,4,0,Auto-Debit,0,0
CUST00279,Female,47,North,28,Basic,39.67,4644.17,38,37,3,2,Auto-Debit,0,0
CUST00280,Female,32,West,33,Standard,22.74,330.02,63,15,3,0,UPI,1,0
CUST00281,Female,68,East,29,Basic,71.76,3465.47,43,68,3,1,PayPal,0,0
CUST00282,Male,32,South,37,Premium,51.83,3198.6,51,85,1,1,Credit Card,0,0
CUST00283,Male,67,South,22,Premium,24.35,4637.25,78,16,1,0,PayPal,1,0
CUST00284,Male,24,East,58,Basic,118.03,3297.66,83,60,1,0,UPI,1,0
CUST00285,Female,28,South,26,Basic,86.65,3199.25,26,74,4,1,UPI,0,0
CUST00286,Male,57,West,59,Standard,110.18,3895.07,97,85,3,0,Credit Card,1,0
CUST00287,Male,55,North,11,Basic,119.91,1485.47,46,43,2,0,PayPal,0,0
CUST00288,Female,57,East,11,Standard,59.2,3059.51,12,43,2,1,UPI,0,0
CUST00289,Male,19,West,45,Standard,45.47,2693.22,93,99,5,2,Credit Card,0,0
CUST00290,Female,68,North,34,Basic,38.39,2304.67,12,40,1,0,PayPal,1,0
CUST00291,Male,65,South,19,Basic,71.52,581.54,29,54,4,2,Credit Card,0,0
CUST00292,Male,56,South,48,Standard,80.61,1604.62,61,2,5,1,Auto-Debit,1,0
CUST00293,Female,27,South,58,Standard,67.24,1543.91,41,90,4,2,PayPal,0,0
CUST00294,Male,61,South,37,Basic,58.73,3676.4,20,12,2,0,UPI,1,0
CUST00295,Male,34,West,14,Standard,36.83,4619.15,98,76,3,0,UPI,0,0
CUST00296,Female,24,West,29,Standard,64.19,1307.78,46,50,2,0,UPI,1,0
CUST00297,Female,57,North,19,Standard,28.52,558.19,30,53,2,0,PayPal,1,0
CUST00298,Male,56,East,37,Basic,106.5,4999.79,93,93,1,1,PayPal,1,0
CUST00299,Female,21,North,21,Basic,24.69,3517.79,39,17,2,1,Credit Card,0,0
CUST00300,Male,52,East,24,Premium,58.06,4455.06,40,39,4,2,UPI,1,0
CUST00301,Male,68,South,26,Premium,30.01,890.62,51,96,3,0,Auto-Debit,0,0
CUST00302,Female,64,South,41,Standard,97.5,4043.69,2,80,1,2,Auto-Debit,1,0
CUST00303,Female,53,South,56,Basic,51.27,4103.95,90,9,5,0,PayPal,1,0
